year,content,doi,pdf,code,data,projects,featured,people
2021,"Vaesen, K., Dusseldorp, G. L., & Brandt, M. J. (2021). An emerging consensus in palaeoanthropology: Demography was the main factor responsible for the disappearance of Neanderthals. <i>Scientific Reports, 11</i>, 4925.",https://doi.org/10.1038/s41598-021-84410-7,https://osf.io/35ube/,https://osf.io/z9rd3/?view_only=ac4fe309454447bab8337ab2e8664f54,https://osf.io/z9rd3/?view_only=ac4fe309454447bab8337ab2e8664f54,,,
2021,"Voelkel, J. G., Ren, D., & Brandt, M. J. (2021). Inclusion reduces political prejudice. <i>Journal of Experimental Social Psychology</i>, 95, 104149.",https://doi.org/10.1016/j.jesp.2021.104149,https://osf.io/7muny/,https://osf.io/jcmmp/,https://osf.io/jcmmp/,wvc,,voelkel
2020,"Brandt, M. J. (2020). Estimating and examining the replicability of belief system networks. <i>Collabra: Psychology, 6</i>, 24.",https://doi.org/10.1525/collabra.312,https://osf.io/53uts/,https://osf.io/csx2g/,,bsd,,
2020,"Brandt, M. J. & Crawford, J. T. (2020). Worldview conflict and prejudice. In B. Gawronski (Ed.) <i>Advances in Experimental Social Psychology, 61</i>, 1-66.",https://doi.org/10.1016/bs.aesp.2019.09.002,https://osf.io/t7vpw/,,,wvc,x,
2020,"Brandt, M. J., Kuppens, T., Spears, R., Andrighetto, L., Autin, F., Babincak, P. … & Zimmerman, J. L. (2020). Subjective status and perceived legitimacy across countries. <i>European Journal of Social Psychology, 50</i>, 921-942.",https://doi.org/10.1002/ejsp.2694,https://osf.io/7knsb/,https://osf.io/5uxc7/,https://osf.io/5uxc7/,,,
2020,"Brandt, M. J. & Turner-Zwinkels, F. M. (2020). No additional evidence that proximity to the July 4th holiday affects affective polarization. <i>Collabra: Psychology, 6</i>, 39.",https://doi.org/10.1525/collabra.368,https://osf.io/u4bas/,https://osf.io/26bua/,https://osf.io/26bua/,,,turnerzwinkels
2020,"Crawford, J. T. & Brandt, M. J. (2020). Ideological (a)symmetries in prejudice and intergroup bias. <i>Current Opinion in Behavioral Sciences, 34</i>, 40-45.",https://doi.org/10.1016/j.cobeha.2019.11.007,https://osf.io/bnga2/,,,"bsd, wvc",,
2020,"Kodapanakkal, R.I., Brandt, M.J., Kogler, C., & van Beest, I., (2020). Self-interest and data protection drive the adoption and moral acceptability of big data technologies: A conjoint analysis approach. <i>Computers in Human Behavior, 108</i>, 106303.",https://doi.org/10.1016/j.chb.2020.106303,https://osf.io/8rz9q/,,,,,kodapanakkal
2020,"Kubin, E. & Brandt, M. J. (2020). Identifying the domains of ideological similarities and differences in attitudes. <i>Comprehensive Results in Social Psychology, 4</i>, 53-77.",https://doi.org/10.1080/23743603.2020.1756242,https://osf.io/sd87z/,https://osf.io/gx3rn/,https://osf.io/gx3rn/,bsd,,kubin
2020,"Leighton, D., Brandt, M. J., & Kennedy, L. (2020). Political extremity, social media use, social support, and well-being for emerging adults during the 2016 presidential election campaign. <i>Emerging Adulthood, 8</i>, 285-296.",https://doi.org/10.1177/2167696818810618,https://osf.io/fzym7/,https://osf.io/tyn5q/,https://osf.io/y5azv/,,,
2020,"Tierney, W., Hardy, J. H., III., Ebersole, C., Leavitt, K., Viganola, D., Clemente, E., Gordon, M., Dreber, A.A., Johannesson, M., Pfeiffer, T., Hiring Decisions Forecasting Collaboration, & Uhlmann, E.L. (2020). Creative destruction in science. <i>Organizational Behavior and Human Decision Processes, 161</i>, 291-309. (Member of Forecasting Collaboration). ",https://doi.org/10.1016/j.obhdp.2020.07.002,https://osf.io/7fj5s/,,,,,
2020,"Van Tongeren, D. R., Kubin, E., Crawford, J. T., & Brandt, M. J. (2020). The role of religious orientation in worldview conflict. <i>International Journal for the Psychology of Religion, 30</i>, 231-242.",https://doi.org/10.1080/10508619.2020.1744317,https://osf.io/b3qja/,https://osf.io/8bfc2/,https://osf.io/8bfc2/,wvc,,kubin
2019,"Brandt, M. J. & Crawford, J. T. (2019). Studying a heterogeneous array of target groups can help us understand prejudice. <i>Current Directions in Psychological Science, 28</i>, 292-298.",https://doi.org/10.1177/0963721419830382,https://osf.io/2kcdf/,,,wvc,,
2019,"Brandt, M. J., Crawford, J. T., & Van Tongeren, D. (2019). Worldview conflict in daily life. <i>Social Psychological and Personality Science, 10</i>, 35-43.",https://doi.org/10.1177/1948550617733517,https://osf.io/shfw2/,https://dataverse.nl/dataset.xhtml?persistentId=hdl:10411/APY9ZO,https://dataverse.nl/dataset.xhtml?persistentId=hdl:10411/APY9ZO,wvc,,
2019,"Brandt, M. J., Sibley, C., & Osborne, D. (2019). What is central to belief system networks. <i>Personality and Social Psychology Bulletin, 45</i>, 1352-1364. ",https://doi.org/10.1177/0146167218824354,https://osf.io/6kgp5/,https://osf.io/mj5nh/,,bsd,,
2019,"Crawford, J. T., & Brandt, M. J. (2019). Who is prejudiced, and towards whom? The Big Five traits and generalized prejudice. <i>Personality and Social Psychology Bulletin, 45</i>, 1455-1467.",https://doi.org/10.1177/0146167219832335,https://osf.io/zce8v/,,,wvc,,
2019,"Evans, A. M. & Brandt, M. J. (2019). Comparing the effects of hypothetical moral preferences on real-life and hypothetical behavior: Commentary on Bostyn, Sevenhant, and Roets (2018). <i>Psychological Science, 30</i>, 1380-1382.",https://doi.org/10.1177/0956797618815482,https://osf.io/eqz3a/,,,experiences,,
2019,"Frimer, J. A., Brandt, M. J., Melton, Z., & Motyl, M. (2019). Extremists on the left and right use angry, negative language. <i>Personality and Social Psychology Bulletin, 45</i>, 1216-1231.",https://doi.org/10.1177/0146167218809705,https://osf.io/2y7cv/,https://osf.io/va3hk/,https://osf.io/va3hk/,,,
2019,"Olsen, J., Kogler, C., Brandt, M. J., Dezsö, L., & Kirchler, E. (2019). Are consumption taxes really disliked more than equivalent costs? Inconclusive results in the USA and no effect in the UK. <i>Journal of Economic Psychology, 75</i>, 102145.",https://doi.org/10.1016/j.joep.2019.02.001,https://osf.io/ygztk/,https://osf.io/q8g7f/,https://osf.io/q8g7f/,,,
2019,"Van Osch, Y. M. J., Zeelenberg, M., Breugelmans, S. M., & Brandt, M. J. (2019). Show or hide pride? Selective inhibition of pride expressions as a function of relevance of achievement domain. <i>Emotion, 19</i>, 334-347.",https://doi.org/10.1037/emo0000437,https://osf.io/62zsm/,,,,,
2019,"Voelkel, J. G., & Brandt, M. J. (2019). The effect of ideological identification on the endorsement of moral values depends on the target group. <i>Personality and Social Psychology Bulletin, 45</i>, 851-863. ",https://doi.org/10.1177/0146167218798822,https://osf.io/fq3up/,https://osf.io/xyk4w/,https://osf.io/xyk4w/,bsd,,voelkel
2019,"Wagemans, F. A. M., Brandt, M. J., & Zeelenberg, M. (2019). Weirdness of disgust sensitivity items predicts their relationship to purity moral judgments. <i>Personality and Individual Differences, 146</i>, 182-187.",https://doi.org/10.1016/j.paid.2018.07.042,https://osf.io/x7ymz/,https://osf.io/f8g73/,https://osf.io/f8g73/,,,wagemans
2019,"Wagge, J. R., Brandt, M. J., Lazarevic, L. B., Legate, N., Christopherson, C., Wiggins, B., & Grahe, J. E. (2019). Publishing research with undergraduate students via replication work: The Collaborative Replications and Education Project. <i>Frontiers in Psychology, 10</i>, 247.",https://doi.org/10.3389/fpsyg.2019.00247,https://osf.io/jkns2/,,,improve,,
2019,"Watkins, H. M. & Brandt, M. J. (2019). The moral landscape of war: A registered report testing how the war context shapes morality’s constraints on default representations of possibility. <i>Journal of Experimental Social Psychology, 85</i>, 103843. ",https://doi.org/10.1016/j.jesp.2019.103843,https://osf.io/79h2q/,https://osf.io/hs58y/,https://osf.io/hs58y/,improve,,
2018,"Brandt, M. J.  & Spälti, A. K. (2018). Norms and explanations in social and political psychology. In J. T. Crawford & L. Jussim (Eds.) <i>Frontiers of Social Psychology Series: Politics of Social Psychology</i> (pp 26-43). Psychology Press.",https://doi.org/10.4324/9781315112619-3,https://osf.io/sp6b3/,,,,,spalti
2018,"Hofmann, W., Brandt, M. J., Wisneski, D. C., Rockenbach, B., & Skitka, L. J. (2018). Moral punishment in everyday life. <i>Personality and Social Psychology Bulletin, 44</i>, 1697-1711.",https://doi.org/10.1177/0146167218775075,https://osf.io/xn74z/,https://osf.io/2jqhm/,https://osf.io/2jqhm/,,,
2018,"IJzerman, H., Grahe, J., & Brandt, M. J. (2018). How to make replications mainstream. <i>Behavioral and Brain Sciences, 41</i>, e136.",https://doi.org/10.1017/S0140525X18000717,https://osf.io/7xyfz/,,,improve,,
2018,"Klein, R. A., Vianello, M., Hasselman, F., Adams B. G., Adams, R. B., Alper, S….Brandt, M. J. …Nosek, B. A. (2018). Many labs 2: Investigating variation in replicability across sample and setting. <i>Advances in Methods and Practices in Psychological Science, 1</i>, 443-490.",https://doi.org/10.1177/2515245918810225,https://osf.io/y5krc/,https://osf.io/8cd4r/wiki/home/,https://osf.io/8cd4r/wiki/home/,,,
2018,"Rutjens, B. T., & Brandt, M. J. (Eds.). (2018). <i>Belief systems and the perception of reality</i>. Abington, UK: Routledge.",https://doi.org/10.4324/9781315114903,https://osf.io/5x3fa/,,,bsd,,
2018,"Skitka, L. J., Wisneski, D. C., & Brandt, M. J. (2018). Attitude moralization: Probably not intuitive or rooted in perceptions of harm. <i>Current Directions in Psychological Science, 27</i>, 9-13.",https://doi.org/10.1177/0963721417727861,https://osf.io/7xyfz/,,,,,
2018,"Voelkel, J. G., Brandt, M. J. & Colombo, M. (2018). I know that I know nothing: Can puncturing the illusion of explanatory depth overcome the relationship between attitudinal dissimilarity and prejudice? <i>Comprehensive Results in Social Psychology, 3</i>, 56-78.",https://doi.org/10.1080/23743603.2018.1464881,https://osf.io/egtfr/,https://osf.io/awr8v/,https://osf.io/awr8v/,wvc,,voelkel
2018,"Wagemans, F. M. A., Brandt, M. J., & Zeelenberg, M. (2018). Disgust sensitivity is primarily associated with purity-based moral judgments. <i>Emotion, 18</i>, 277-289.",https://doi.org/10.1037/emo0000359,https://osf.io/cvm7q/,https://osf.io/dspvr/,https://osf.io/dspvr/,,,wagemans
2017,"Brandt, M. J. (2017). Predicting ideological prejudice. <i>Psychological Science, 28</i>, 713-722.",https://doi.org/10.1177/0956797617693004,https://osf.io/z83cb/,https://osf.io/3xgtk/,https://osf.io/3xgtk/,"bsd, wvc",,
2017,"Brandt, M. J. & Reyna, C. (2017). Individual differences in the resistance to social change and acceptance of inequality predict system legitimacy differently depending on the social structure. <i>European Journal of Personality, 31</i>, 266-278.",https://doi.org/10.1002/per.2100,https://osf.io/5ajr3/,https://osf.io/f54qe/,https://osf.io/f54qe/,experiences,,
2017,"Brandt, M. J. & van Tongeren, D. R. (2017). People both high and low on religious fundamentalism are prejudiced towards dissimilar groups. <i>Journal of Personality and Social Psychology, 112</i>, 76-97.",https://doi.org/10.1037/pspp0000076,https://osf.io/fn3j7/,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/XZOIQH,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/XZOIQH,wvc,,
2017,"Brandt, M. J. & Wagemans, F. M. A. (2017). From the political here and now to generalizable knowledge. <i>Translational Issues in Psychological Science, 3</i>, 317-320.",https://doi.org/10.1037/tps0000126,https://osf.io/mbfz5/,,,,,wagemans
2017,"Collins, T. P., Crawford, J. T., & Brandt, M. J. (2017). No evidence for ideological asymmetry in dissonance avoidance: Unsuccessful close and conceptual replications of Nam, Jost, and van Bavel (2013). <i>Social Psychology, 48</i>, 123-134.",https://doi.org/10.1027/1864-9335/a000300,https://osf.io/4zrkn/,,,"bsd, improve",,
2017,"Crawford, J. T., Brandt, M. J., Inbar, Y., Chambers, J. R., & Motyl, M. (2017). Social and economic ideologies differentially predict prejudice across the political spectrum, but social issues are most divisive. <i>Journal of Personality and Social Psychology, 112</i>, 383-412.",https://doi.org/10.1037/pspa0000074,https://osf.io/3t2yk/,,,"bsd, wvc",,
2017,"Lammers, J., Koch, A., Conway, P., & Brandt, M. J. (2017). The political domain appears simpler to the politically extreme than to political moderates. <i>Social Psychological and Personality Science, 8</i>, 612-622.",https://doi.org/10.1177/1948550616678456,https://osf.io/xg7j6/,,,,,
2017,"Proulx, T. & Brandt, M. J. (2017). Beyond threat and uncertainty: The underpinnings of conservatism. <i>Social Cognition, 35</i>, 313-323",https://doi.org/10.1521/soco.2017.35.4.313,https://osf.io/dt29g/,,,,,
2017,"Spälti, A. K., Brandt, M. J., & Zeelenberg, M. (2017). Memory retrieval processes help explain the incumbency advantage. <i>Judgment and Decision Making, 12</i>, 173-182.",http://journal.sjdm.org/16/16920a/jdm16920a.html,https://osf.io/mwb2d/,https://osf.io/2r93z/,https://osf.io/2r93z/,,,spalti
2017,"Suhay, E., Brandt, M. J., & Proulx, T. (2017). Lay belief in biopolitics and political prejudice. <i>Social Psychological and Personality Science, 8</i>, 173-182.",https://doi.org/10.1177/1948550616667615,https://osf.io/fdzyr/,,,wvc,,
2017,"van de Ven, N., Bogaert, A., Serlie, A., Brandt, M. J., & Denissen, J. J. A. (2017). Personality perception based on LinkedIn profiles. <i>Journal of Managerial Psychology, 32</i>, 418-429.",https://doi.org/10.1108/JMP-07-2016-0220,https://osf.io/ts6e5/,,,,,
2016,"Brandt, M. J., & Crawford, J. T. (2016). Answering unresolved questions about the relationship between cognitive ability and prejudice. <i>Social Psychological and Personality Science, 7</i>, 884-892.",https://doi.org/10.1177/1948550616660592,https://osf.io/tgzha/,https://osf.io/hvs9t/wiki/home/,,wvc,,
2016,"Brandt, M. J., Crawford, M., & Giner-Sorolla, R. (2016). Editorial: Special issue on confirmatory research. <i>Journal of Experimental Social Psychology, 67</i>, 1.",https://doi.org/10.1016/j.jesp.2016.03.003,https://osf.io/nhmb2/,,,,,
2016,"Brandt, M. J. & Proulx, T. (2016). Conceptual creep as a human (and scientific) goal. <i>Psychological Inquiry, 27</i>, 18-23.",https://doi.org/10.1080/1047840X.2016.1109577,https://osf.io/kf8vr/,,,,,
